Venue:,Capacity:,Timestamp:
MyFitness Viimsi,0%,2021-03-09 23:05:47.140445
MyFitness Viimsi,0%,2021-03-10 00:05:54.398069
MyFitness Viimsi,0%,2021-03-10 01:05:54.335375
MyFitness Viimsi,0%,2021-03-10 02:05:41.765253
MyFitness Viimsi,0%,2021-03-10 03:05:53.506931
MyFitness Rävala,15%,2021-03-10 04:05:48.980062
MyFitness Viimsi,0%,2021-03-10 04:05:48.980067
MyFitness Balti Jaama Turg,18%,2021-03-10 05:05:49.700743
MyFitness Järve,40%,2021-03-10 05:05:49.700747
MyFitness Kristiine,11%,2021-03-10 05:05:49.700748
MyFitness Lasnamäe Kärberi,8%,2021-03-10 05:05:49.700749
MyFitness Lasnamäe Linnamäe,8%,2021-03-10 05:05:49.700750
MyFitness Mustamäe,31%,2021-03-10 05:05:49.700751
MyFitness Narva,7%,2021-03-10 05:05:49.700752
MyFitness Pirita,3%,2021-03-10 05:05:49.700753
MyFitness Postimaja,18%,2021-03-10 05:05:49.700754
MyFitness Rocca al Mare,42%,2021-03-10 05:05:49.700755
MyFitness Rävala,32%,2021-03-10 05:05:49.700756
MyFitness Solaris,2%,2021-03-10 05:05:49.700757
MyFitness Tartu Annelinn,15%,2021-03-10 05:05:49.700757
MyFitness Tartu Kesklinn,14%,2021-03-10 05:05:49.700758
MyFitness Tartu Lõunakeskus,13%,2021-03-10 05:05:49.700759
MyFitness Viimsi,11%,2021-03-10 05:05:49.700760
MyFitness Viljandi,7%,2021-03-10 05:05:49.700761
MyFitness Viru,12%,2021-03-10 05:05:49.700762
MyFitness Ülemiste City,20%,2021-03-10 05:05:49.700763
MyFitness Balti Jaama Turg,24%,2021-03-10 06:05:47.149861
MyFitness Järve,39%,2021-03-10 06:05:47.149865
MyFitness Kristiine,29%,2021-03-10 06:05:47.149866
MyFitness Lasnamäe Kärberi,14%,2021-03-10 06:05:47.149868
MyFitness Lasnamäe Linnamäe,14%,2021-03-10 06:05:47.149869
MyFitness Lasnamäe Virbi,16%,2021-03-10 06:05:47.149870
MyFitness Mustamäe,43%,2021-03-10 06:05:47.149871
MyFitness Narva,29%,2021-03-10 06:05:47.149873
MyFitness Pirita,18%,2021-03-10 06:05:47.149874
MyFitness Postimaja,31%,2021-03-10 06:05:47.149875
MyFitness Rocca al Mare,54%,2021-03-10 06:05:47.149876
MyFitness Rävala,49%,2021-03-10 06:05:47.149877
MyFitness Solaris,7%,2021-03-10 06:05:47.149878
MyFitness Tartu Annelinn,36%,2021-03-10 06:05:47.149880
MyFitness Tartu Kesklinn,41%,2021-03-10 06:05:47.149881
MyFitness Tartu Lõunakeskus,29%,2021-03-10 06:05:47.149882
MyFitness Viimsi,17%,2021-03-10 06:05:47.149883
MyFitness Viljandi,27%,2021-03-10 06:05:47.149884
MyFitness Viru,20%,2021-03-10 06:05:47.149885
MyFitness Ülemiste City,40%,2021-03-10 06:05:47.149886
MyFitness Balti Jaama Turg,30%,2021-03-10 06:30:17.522321
MyFitness Järve,29%,2021-03-10 06:30:17.522324
MyFitness Kristiine,25%,2021-03-10 06:30:17.522325
MyFitness Lasnamäe Kärberi,18%,2021-03-10 06:30:17.522325
MyFitness Lasnamäe Linnamäe,19%,2021-03-10 06:30:17.522326
MyFitness Lasnamäe Virbi,18%,2021-03-10 06:30:17.522327
MyFitness Mustamäe,46%,2021-03-10 06:30:17.522327
MyFitness Narva,39%,2021-03-10 06:30:17.522328
MyFitness Pirita,20%,2021-03-10 06:30:17.522329
MyFitness Postimaja,23%,2021-03-10 06:30:17.522329
MyFitness Rocca al Mare,56%,2021-03-10 06:30:17.522330
MyFitness Rävala,57%,2021-03-10 06:30:17.522330
MyFitness Solaris,19%,2021-03-10 06:30:17.522331
MyFitness Tartu Annelinn,32%,2021-03-10 06:30:17.522331
MyFitness Tartu Kesklinn,42%,2021-03-10 06:30:17.522332
MyFitness Tartu Lõunakeskus,44%,2021-03-10 06:30:17.522333
MyFitness Viimsi,17%,2021-03-10 06:30:17.522333
MyFitness Viljandi,39%,2021-03-10 06:30:17.522334
MyFitness Viru,18%,2021-03-10 06:30:17.522335
MyFitness Ülemiste City,41%,2021-03-10 06:30:17.522336
MyFitness Balti Jaama Turg,31%,2021-03-10 07:05:39.180828
MyFitness Järve,27%,2021-03-10 07:05:39.180832
MyFitness Kristiine,17%,2021-03-10 07:05:39.180833
MyFitness Lasnamäe Kärberi,14%,2021-03-10 07:05:39.180834
MyFitness Lasnamäe Linnamäe,22%,2021-03-10 07:05:39.180835
MyFitness Lasnamäe Virbi,22%,2021-03-10 07:05:39.180836
MyFitness Mustamäe,39%,2021-03-10 07:05:39.180837
MyFitness Narva,39%,2021-03-10 07:05:39.180837
MyFitness Pirita,25%,2021-03-10 07:05:39.180838
MyFitness Postimaja,14%,2021-03-10 07:05:39.180840
MyFitness Rocca al Mare,58%,2021-03-10 07:05:39.180840
MyFitness Rävala,55%,2021-03-10 07:05:39.180841
MyFitness Solaris,17%,2021-03-10 07:05:39.180843
MyFitness Tartu Annelinn,38%,2021-03-10 07:05:39.180844
MyFitness Tartu Kesklinn,33%,2021-03-10 07:05:39.180844
MyFitness Tartu Lõunakeskus,42%,2021-03-10 07:05:39.180845
MyFitness Viimsi,16%,2021-03-10 07:05:39.180846
MyFitness Viljandi,32%,2021-03-10 07:05:39.180847
MyFitness Viru,12%,2021-03-10 07:05:39.180847
MyFitness Ülemiste City,48%,2021-03-10 07:05:39.180848
MyFitness Balti Jaama Turg,39%,2021-03-10 08:05:44.148108
MyFitness Järve,25%,2021-03-10 08:05:44.148111
MyFitness Kristiine,16%,2021-03-10 08:05:44.148112
MyFitness Lasnamäe Kärberi,16%,2021-03-10 08:05:44.148113
MyFitness Lasnamäe Linnamäe,34%,2021-03-10 08:05:44.148114
MyFitness Lasnamäe Virbi,19%,2021-03-10 08:05:44.148115
MyFitness Mustamäe,36%,2021-03-10 08:05:44.148116
MyFitness Narva,43%,2021-03-10 08:05:44.148117
MyFitness Pirita,27%,2021-03-10 08:05:44.148118
MyFitness Postimaja,14%,2021-03-10 08:05:44.148119
MyFitness Rocca al Mare,66%,2021-03-10 08:05:44.148120
MyFitness Rävala,61%,2021-03-10 08:05:44.148121
MyFitness Solaris,12%,2021-03-10 08:05:44.148143
MyFitness Tartu Annelinn,28%,2021-03-10 08:05:44.148144
MyFitness Tartu Kesklinn,25%,2021-03-10 08:05:44.148150
MyFitness Tartu Lõunakeskus,21%,2021-03-10 08:05:44.148151
MyFitness Viimsi,26%,2021-03-10 08:05:44.148152
MyFitness Viljandi,34%,2021-03-10 08:05:44.148153
MyFitness Viru,13%,2021-03-10 08:05:44.148154
MyFitness Ülemiste City,40%,2021-03-10 08:05:44.148155
MyFitness Balti Jaama Turg,42%,2021-03-10 09:05:40.775939
MyFitness Järve,31%,2021-03-10 09:05:40.775943
MyFitness Kristiine,22%,2021-03-10 09:05:40.775944
MyFitness Lasnamäe Kärberi,26%,2021-03-10 09:05:40.775945
MyFitness Lasnamäe Linnamäe,27%,2021-03-10 09:05:40.775946
MyFitness Lasnamäe Virbi,9%,2021-03-10 09:05:40.775947
MyFitness Mustamäe,43%,2021-03-10 09:05:40.775948
MyFitness Narva,48%,2021-03-10 09:05:40.775949
MyFitness Pirita,27%,2021-03-10 09:05:40.775950
MyFitness Postimaja,25%,2021-03-10 09:05:40.775951
MyFitness Rocca al Mare,68%,2021-03-10 09:05:40.775952
MyFitness Rävala,44%,2021-03-10 09:05:40.775953
MyFitness Solaris,17%,2021-03-10 09:05:40.775954
MyFitness Tartu Annelinn,29%,2021-03-10 09:05:40.775955
MyFitness Tartu Kesklinn,22%,2021-03-10 09:05:40.775956
MyFitness Tartu Lõunakeskus,25%,2021-03-10 09:05:40.775957
MyFitness Viimsi,20%,2021-03-10 09:05:40.775958
MyFitness Viljandi,36%,2021-03-10 09:05:40.775959
MyFitness Viru,20%,2021-03-10 09:05:40.775960
MyFitness Ülemiste City,40%,2021-03-10 09:05:40.775961
MyFitness Balti Jaama Turg,52%,2021-03-10 10:05:43.005297
MyFitness Järve,44%,2021-03-10 10:05:43.005302
MyFitness Kristiine,34%,2021-03-10 10:05:43.005303
MyFitness Lasnamäe Kärberi,24%,2021-03-10 10:05:43.005305
MyFitness Lasnamäe Linnamäe,38%,2021-03-10 10:05:43.005306
MyFitness Lasnamäe Virbi,16%,2021-03-10 10:05:43.005307
MyFitness Mustamäe,55%,2021-03-10 10:05:43.005308
MyFitness Narva,66%,2021-03-10 10:05:43.005309
MyFitness Pirita,38%,2021-03-10 10:05:43.005310
MyFitness Postimaja,38%,2021-03-10 10:05:43.005312
MyFitness Rocca al Mare,69%,2021-03-10 10:05:43.005313
MyFitness Rävala,49%,2021-03-10 10:05:43.005314
MyFitness Solaris,21%,2021-03-10 10:05:43.005315
MyFitness Tartu Annelinn,44%,2021-03-10 10:05:43.005316
MyFitness Tartu Kesklinn,39%,2021-03-10 10:05:43.005317
MyFitness Tartu Lõunakeskus,38%,2021-03-10 10:05:43.005318
MyFitness Viimsi,28%,2021-03-10 10:05:43.005319
MyFitness Viljandi,34%,2021-03-10 10:05:43.005320
MyFitness Viru,40%,2021-03-10 10:05:43.005321
MyFitness Ülemiste City,38%,2021-03-10 10:05:43.005322
MyFitness Balti Jaama Turg,48%,2021-03-10 11:05:35.082924
MyFitness Järve,42%,2021-03-10 11:05:35.082928
MyFitness Kristiine,32%,2021-03-10 11:05:35.082929
MyFitness Lasnamäe Kärberi,29%,2021-03-10 11:05:35.082930
MyFitness Lasnamäe Linnamäe,29%,2021-03-10 11:05:35.082931
MyFitness Lasnamäe Virbi,19%,2021-03-10 11:05:35.082932
MyFitness Mustamäe,53%,2021-03-10 11:05:35.082933
MyFitness Narva,46%,2021-03-10 11:05:35.082934
MyFitness Pirita,45%,2021-03-10 11:05:35.082935
MyFitness Postimaja,45%,2021-03-10 11:05:35.082936
MyFitness Rocca al Mare,56%,2021-03-10 11:05:35.082936
MyFitness Rävala,75%,2021-03-10 11:05:35.082937
MyFitness Solaris,17%,2021-03-10 11:05:35.082938
MyFitness Tartu Annelinn,47%,2021-03-10 11:05:35.082939
MyFitness Tartu Kesklinn,46%,2021-03-10 11:05:35.082940
MyFitness Tartu Lõunakeskus,46%,2021-03-10 11:05:35.082941
MyFitness Viimsi,37%,2021-03-10 11:05:35.082941
MyFitness Viljandi,41%,2021-03-10 11:05:35.082943
MyFitness Viru,37%,2021-03-10 11:05:35.082943
MyFitness Ülemiste City,50%,2021-03-10 11:05:35.082944
MyFitness Balti Jaama Turg,30%,2021-03-10 12:05:43.402523
MyFitness Järve,54%,2021-03-10 12:05:43.402527
MyFitness Kristiine,38%,2021-03-10 12:05:43.402529
MyFitness Lasnamäe Kärberi,25%,2021-03-10 12:05:43.402530
MyFitness Lasnamäe Linnamäe,27%,2021-03-10 12:05:43.402531
MyFitness Lasnamäe Virbi,19%,2021-03-10 12:05:43.402533
MyFitness Mustamäe,46%,2021-03-10 12:05:43.402533
MyFitness Narva,52%,2021-03-10 12:05:43.402535
MyFitness Pirita,40%,2021-03-10 12:05:43.402536
MyFitness Postimaja,34%,2021-03-10 12:05:43.402537
MyFitness Rocca al Mare,64%,2021-03-10 12:05:43.402538
MyFitness Rävala,61%,2021-03-10 12:05:43.402539
MyFitness Solaris,21%,2021-03-10 12:05:43.402540
MyFitness Tartu Annelinn,49%,2021-03-10 12:05:43.402541
MyFitness Tartu Kesklinn,45%,2021-03-10 12:05:43.402542
MyFitness Tartu Lõunakeskus,44%,2021-03-10 12:05:43.402543
MyFitness Viimsi,38%,2021-03-10 12:05:43.402544
MyFitness Viljandi,66%,2021-03-10 12:05:43.402545
MyFitness Viru,38%,2021-03-10 12:05:43.402546
MyFitness Ülemiste City,46%,2021-03-10 12:05:43.402547
MyFitness Balti Jaama Turg,54%,2021-03-10 13:05:41.448764
MyFitness Järve,62%,2021-03-10 13:05:41.448768
MyFitness Kristiine,46%,2021-03-10 13:05:41.448769
MyFitness Lasnamäe Kärberi,30%,2021-03-10 13:05:41.448770
MyFitness Lasnamäe Linnamäe,28%,2021-03-10 13:05:41.448771
MyFitness Lasnamäe Virbi,12%,2021-03-10 13:05:41.448772
MyFitness Mustamäe,51%,2021-03-10 13:05:41.448773
MyFitness Narva,59%,2021-03-10 13:05:41.448774
MyFitness Pirita,48%,2021-03-10 13:05:41.448775
MyFitness Postimaja,34%,2021-03-10 13:05:41.448776
MyFitness Rocca al Mare,96%,2021-03-10 13:05:41.448777
MyFitness Rävala,68%,2021-03-10 13:05:41.448778
MyFitness Solaris,31%,2021-03-10 13:05:41.448779
MyFitness Tartu Annelinn,61%,2021-03-10 13:05:41.448780
MyFitness Tartu Kesklinn,50%,2021-03-10 13:05:41.448781
MyFitness Tartu Lõunakeskus,33%,2021-03-10 13:05:41.448782
MyFitness Viimsi,36%,2021-03-10 13:05:41.448783
MyFitness Viljandi,75%,2021-03-10 13:05:41.448784
MyFitness Viru,53%,2021-03-10 13:05:41.448785
MyFitness Ülemiste City,55%,2021-03-10 13:05:41.448786
MyFitness Balti Jaama Turg,37%,2021-03-10 14:05:37.747254
MyFitness Järve,57%,2021-03-10 14:05:37.747258
MyFitness Kristiine,47%,2021-03-10 14:05:37.747259
MyFitness Lasnamäe Kärberi,28%,2021-03-10 14:05:37.747260
MyFitness Lasnamäe Linnamäe,29%,2021-03-10 14:05:37.747261
MyFitness Lasnamäe Virbi,16%,2021-03-10 14:05:37.747262
MyFitness Mustamäe,38%,2021-03-10 14:05:37.747263
MyFitness Narva,50%,2021-03-10 14:05:37.747264
MyFitness Pirita,40%,2021-03-10 14:05:37.747265
MyFitness Postimaja,48%,2021-03-10 14:05:37.747266
MyFitness Rocca al Mare,92%,2021-03-10 14:05:37.747267
MyFitness Rävala,89%,2021-03-10 14:05:37.747268
MyFitness Solaris,17%,2021-03-10 14:05:37.747269
MyFitness Tartu Annelinn,81%,2021-03-10 14:05:37.747269
MyFitness Tartu Kesklinn,46%,2021-03-10 14:05:37.747270
MyFitness Tartu Lõunakeskus,35%,2021-03-10 14:05:37.747271
MyFitness Viimsi,37%,2021-03-10 14:05:37.747272
MyFitness Viljandi,68%,2021-03-10 14:05:37.747273
MyFitness Viru,33%,2021-03-10 14:05:37.747274
MyFitness Ülemiste City,56%,2021-03-10 14:05:37.747275
MyFitness Balti Jaama Turg,54%,2021-03-10 15:05:36.347044
MyFitness Järve,75%,2021-03-10 15:05:36.347048
MyFitness Kristiine,34%,2021-03-10 15:05:36.347050
MyFitness Lasnamäe Kärberi,28%,2021-03-10 15:05:36.347051
MyFitness Lasnamäe Linnamäe,37%,2021-03-10 15:05:36.347052
MyFitness Lasnamäe Virbi,36%,2021-03-10 15:05:36.347053
MyFitness Mustamäe,68%,2021-03-10 15:05:36.347053
MyFitness Narva,54%,2021-03-10 15:05:36.347054
MyFitness Pirita,43%,2021-03-10 15:05:36.347055
MyFitness Postimaja,37%,2021-03-10 15:05:36.347056
MyFitness Rocca al Mare,85%,2021-03-10 15:05:36.347057
MyFitness Rävala,75%,2021-03-10 15:05:36.347058
MyFitness Solaris,40%,2021-03-10 15:05:36.347059
MyFitness Tartu Annelinn,61%,2021-03-10 15:05:36.347060
MyFitness Tartu Kesklinn,43%,2021-03-10 15:05:36.347061
MyFitness Tartu Lõunakeskus,56%,2021-03-10 15:05:36.347062
MyFitness Viimsi,44%,2021-03-10 15:05:36.347063
MyFitness Viljandi,48%,2021-03-10 15:05:36.347064
MyFitness Viru,35%,2021-03-10 15:05:36.347065
MyFitness Ülemiste City,62%,2021-03-10 15:05:36.347066
MyFitness Balti Jaama Turg,84%,2021-03-10 16:05:38.980063
MyFitness Järve,75%,2021-03-10 16:05:38.980067
MyFitness Kristiine,62%,2021-03-10 16:05:38.980068
MyFitness Lasnamäe Kärberi,31%,2021-03-10 16:05:38.980069
MyFitness Lasnamäe Linnamäe,35%,2021-03-10 16:05:38.980070
MyFitness Lasnamäe Virbi,33%,2021-03-10 16:05:38.980071
MyFitness Mustamäe,78%,2021-03-10 16:05:38.980072
MyFitness Narva,71%,2021-03-10 16:05:38.980073
MyFitness Pirita,35%,2021-03-10 16:05:38.980074
MyFitness Postimaja,46%,2021-03-10 16:05:38.980075
MyFitness Rocca al Mare,91%,2021-03-10 16:05:38.980076
MyFitness Rävala,95%,2021-03-10 16:05:38.980077
MyFitness Solaris,45%,2021-03-10 16:05:38.980078
MyFitness Tartu Annelinn,72%,2021-03-10 16:05:38.980079
MyFitness Tartu Kesklinn,68%,2021-03-10 16:05:38.980080
MyFitness Tartu Lõunakeskus,54%,2021-03-10 16:05:38.980080
MyFitness Viimsi,49%,2021-03-10 16:05:38.980081
MyFitness Viljandi,52%,2021-03-10 16:05:38.980082
MyFitness Viru,43%,2021-03-10 16:05:38.980083
MyFitness Ülemiste City,59%,2021-03-10 16:05:38.980083
MyFitness Balti Jaama Turg,72%,2021-03-10 17:05:40.279047
MyFitness Järve,72%,2021-03-10 17:05:40.279051
MyFitness Kristiine,88%,2021-03-10 17:05:40.279052
MyFitness Lasnamäe Kärberi,36%,2021-03-10 17:05:40.279053
MyFitness Lasnamäe Linnamäe,39%,2021-03-10 17:05:40.279054
MyFitness Lasnamäe Virbi,22%,2021-03-10 17:05:40.279056
MyFitness Mustamäe,82%,2021-03-10 17:05:40.279057
MyFitness Narva,88%,2021-03-10 17:05:40.279058
MyFitness Pirita,48%,2021-03-10 17:05:40.279059
MyFitness Postimaja,66%,2021-03-10 17:05:40.279060
MyFitness Rocca al Mare,99%,2021-03-10 17:05:40.279061
MyFitness Rävala,100%,2021-03-10 17:05:40.279061
MyFitness Solaris,36%,2021-03-10 17:05:40.279062
MyFitness Tartu Annelinn,75%,2021-03-10 17:05:40.279063
MyFitness Tartu Kesklinn,72%,2021-03-10 17:05:40.279064
MyFitness Tartu Lõunakeskus,48%,2021-03-10 17:05:40.279065
MyFitness Viimsi,43%,2021-03-10 17:05:40.279066
MyFitness Viljandi,59%,2021-03-10 17:05:40.279067
MyFitness Viru,62%,2021-03-10 17:05:40.279067
MyFitness Ülemiste City,72%,2021-03-10 17:05:40.279068
MyFitness Balti Jaama Turg,60%,2021-03-10 18:05:40.729732
MyFitness Järve,67%,2021-03-10 18:05:40.729736
MyFitness Kristiine,67%,2021-03-10 18:05:40.729738
MyFitness Lasnamäe Kärberi,38%,2021-03-10 18:05:40.729739
MyFitness Lasnamäe Linnamäe,41%,2021-03-10 18:05:40.729740
MyFitness Lasnamäe Virbi,24%,2021-03-10 18:05:40.729741
MyFitness Mustamäe,55%,2021-03-10 18:05:40.729742
MyFitness Narva,77%,2021-03-10 18:05:40.729743
MyFitness Pirita,53%,2021-03-10 18:05:40.729744
MyFitness Postimaja,48%,2021-03-10 18:05:40.729746
MyFitness Rocca al Mare,88%,2021-03-10 18:05:40.729746
MyFitness Rävala,80%,2021-03-10 18:05:40.729747
MyFitness Solaris,29%,2021-03-10 18:05:40.729748
MyFitness Tartu Annelinn,68%,2021-03-10 18:05:40.729749
MyFitness Tartu Kesklinn,79%,2021-03-10 18:05:40.729750
MyFitness Tartu Lõunakeskus,56%,2021-03-10 18:05:40.729751
MyFitness Viimsi,42%,2021-03-10 18:05:40.729752
MyFitness Viljandi,45%,2021-03-10 18:05:40.729753
MyFitness Viru,60%,2021-03-10 18:05:40.729754
MyFitness Ülemiste City,64%,2021-03-10 18:05:40.729755
MyFitness Balti Jaama Turg,0%,2021-05-02 19:06:11.210623
MyFitness Peakorter,0%,2021-05-02 19:06:11.210627
MyFitness Järve,0%,2021-05-02 19:06:11.210628
MyFitness Kristiine,0%,2021-05-02 19:06:11.210628
MyFitness Lasnamäe Kärberi,0%,2021-05-02 19:06:11.210629
MyFitness Lasnamäe Linnamäe,0%,2021-05-02 19:06:11.210630
MyFitness Lasnamäe Virbi,0%,2021-05-02 19:06:11.210630
MyFitness Mustamäe,0%,2021-05-02 19:06:11.210631
MyFitness Narva,0%,2021-05-02 19:06:11.210632
MyFitness Pirita,0%,2021-05-02 19:06:11.210633
MyFitness Postimaja,0%,2021-05-02 19:06:11.210633
MyFitness Pärnu,0%,2021-05-02 19:06:11.210634
MyFitness Rocca al Mare,0%,2021-05-02 19:06:11.210635
MyFitness Rävala,0%,2021-05-02 19:06:11.210635
MyFitness Tartu Annelinn,0%,2021-05-02 19:06:11.210636
MyFitness Tartu Kesklinn,0%,2021-05-02 19:06:11.210636
MyFitness Tartu Lõunakeskus,0%,2021-05-02 19:06:11.210637
MyFitness Viimsi,0%,2021-05-02 19:06:11.210637
MyFitness Viljandi,0%,2021-05-02 19:06:11.210638
MyFitness Viru,0%,2021-05-02 19:06:11.210638
MyFitness Ülemiste City,0%,2021-05-02 19:06:11.210643
MyFitness Balti Jaama Turg,0%,2021-05-02 20:06:16.813601
MyFitness Peakorter,0%,2021-05-02 20:06:16.813604
MyFitness Järve,0%,2021-05-02 20:06:16.813604
MyFitness Kristiine,0%,2021-05-02 20:06:16.813605
MyFitness Lasnamäe Kärberi,0%,2021-05-02 20:06:16.813606
MyFitness Lasnamäe Linnamäe,0%,2021-05-02 20:06:16.813607
MyFitness Lasnamäe Virbi,0%,2021-05-02 20:06:16.813608
MyFitness Mustamäe,0%,2021-05-02 20:06:16.813608
MyFitness Narva,0%,2021-05-02 20:06:16.813609
MyFitness Pirita,0%,2021-05-02 20:06:16.813610
MyFitness Postimaja,0%,2021-05-02 20:06:16.813610
MyFitness Pärnu,0%,2021-05-02 20:06:16.813611
MyFitness Rocca al Mare,0%,2021-05-02 20:06:16.813612
MyFitness Rävala,0%,2021-05-02 20:06:16.813612
MyFitness Tartu Annelinn,0%,2021-05-02 20:06:16.813613
MyFitness Tartu Kesklinn,0%,2021-05-02 20:06:16.813613
MyFitness Tartu Lõunakeskus,0%,2021-05-02 20:06:16.813614
MyFitness Viimsi,0%,2021-05-02 20:06:16.813615
MyFitness Viljandi,0%,2021-05-02 20:06:16.813615
MyFitness Viru,0%,2021-05-02 20:06:16.813616
MyFitness Ülemiste City,0%,2021-05-02 20:06:16.813618
MyFitness Balti Jaama Turg,0%,2021-05-02 21:06:14.274158
MyFitness Peakorter,0%,2021-05-02 21:06:14.274162
MyFitness Järve,0%,2021-05-02 21:06:14.274163
MyFitness Kristiine,0%,2021-05-02 21:06:14.274164
MyFitness Lasnamäe Kärberi,0%,2021-05-02 21:06:14.274165
MyFitness Lasnamäe Linnamäe,0%,2021-05-02 21:06:14.274167
MyFitness Lasnamäe Virbi,0%,2021-05-02 21:06:14.274168
MyFitness Mustamäe,0%,2021-05-02 21:06:14.274169
MyFitness Narva,0%,2021-05-02 21:06:14.274170
MyFitness Pirita,0%,2021-05-02 21:06:14.274171
MyFitness Postimaja,0%,2021-05-02 21:06:14.274171
MyFitness Pärnu,0%,2021-05-02 21:06:14.274172
MyFitness Rocca al Mare,0%,2021-05-02 21:06:14.274173
MyFitness Rävala,0%,2021-05-02 21:06:14.274174
MyFitness Tartu Annelinn,0%,2021-05-02 21:06:14.274175
MyFitness Tartu Kesklinn,0%,2021-05-02 21:06:14.274176
MyFitness Tartu Lõunakeskus,0%,2021-05-02 21:06:14.274177
MyFitness Viimsi,0%,2021-05-02 21:06:14.274178
MyFitness Viljandi,0%,2021-05-02 21:06:14.274178
MyFitness Viru,0%,2021-05-02 21:06:14.274179
MyFitness Ülemiste City,0%,2021-05-02 21:06:14.274185
MyFitness Balti Jaama Turg,0%,2021-05-02 22:06:15.276338
MyFitness Peakorter,0%,2021-05-02 22:06:15.276342
MyFitness Järve,0%,2021-05-02 22:06:15.276343
MyFitness Kristiine,0%,2021-05-02 22:06:15.276344
MyFitness Lasnamäe Kärberi,0%,2021-05-02 22:06:15.276345
MyFitness Lasnamäe Linnamäe,0%,2021-05-02 22:06:15.276346
MyFitness Lasnamäe Virbi,0%,2021-05-02 22:06:15.276347
MyFitness Mustamäe,0%,2021-05-02 22:06:15.276348
MyFitness Narva,0%,2021-05-02 22:06:15.276349
MyFitness Pirita,0%,2021-05-02 22:06:15.276351
MyFitness Postimaja,0%,2021-05-02 22:06:15.276351
MyFitness Pärnu,0%,2021-05-02 22:06:15.276352
MyFitness Rocca al Mare,0%,2021-05-02 22:06:15.276353
MyFitness Rävala,0%,2021-05-02 22:06:15.276354
MyFitness Tartu Annelinn,0%,2021-05-02 22:06:15.276355
MyFitness Tartu Kesklinn,0%,2021-05-02 22:06:15.276356
MyFitness Tartu Lõunakeskus,0%,2021-05-02 22:06:15.276358
MyFitness Viimsi,0%,2021-05-02 22:06:15.276359
MyFitness Viljandi,0%,2021-05-02 22:06:15.276360
MyFitness Viru,0%,2021-05-02 22:06:15.276360
MyFitness Ülemiste City,0%,2021-05-02 22:06:15.276365
MyFitness Balti Jaama Turg,0%,2021-05-02 23:06:08.681541
MyFitness Peakorter,0%,2021-05-02 23:06:08.681545
MyFitness Järve,0%,2021-05-02 23:06:08.681546
MyFitness Kristiine,0%,2021-05-02 23:06:08.681547
MyFitness Lasnamäe Kärberi,0%,2021-05-02 23:06:08.681548
MyFitness Lasnamäe Linnamäe,0%,2021-05-02 23:06:08.681549
MyFitness Lasnamäe Virbi,0%,2021-05-02 23:06:08.681550
MyFitness Mustamäe,0%,2021-05-02 23:06:08.681551
MyFitness Narva,0%,2021-05-02 23:06:08.681552
MyFitness Pirita,0%,2021-05-02 23:06:08.681553
MyFitness Postimaja,0%,2021-05-02 23:06:08.681554
MyFitness Pärnu,0%,2021-05-02 23:06:08.681555
MyFitness Rocca al Mare,0%,2021-05-02 23:06:08.681555
MyFitness Rävala,0%,2021-05-02 23:06:08.681556
MyFitness Tartu Annelinn,0%,2021-05-02 23:06:08.681557
MyFitness Tartu Kesklinn,0%,2021-05-02 23:06:08.681558
MyFitness Tartu Lõunakeskus,0%,2021-05-02 23:06:08.681559
MyFitness Viimsi,0%,2021-05-02 23:06:08.681560
MyFitness Viljandi,0%,2021-05-02 23:06:08.681561
MyFitness Viru,0%,2021-05-02 23:06:08.681562
MyFitness Ülemiste City,0%,2021-05-02 23:06:08.681565
MyFitness Balti Jaama Turg,0%,2021-05-03 00:09:43.348213
MyFitness Peakorter,0%,2021-05-03 00:09:43.348218
MyFitness Järve,0%,2021-05-03 00:09:43.348220
MyFitness Kristiine,0%,2021-05-03 00:09:43.348237
MyFitness Lasnamäe Kärberi,0%,2021-05-03 00:09:43.348238
MyFitness Lasnamäe Linnamäe,0%,2021-05-03 00:09:43.348239
MyFitness Lasnamäe Virbi,0%,2021-05-03 00:09:43.348240
MyFitness Mustamäe,0%,2021-05-03 00:09:43.348241
